le réseau | la red
les réseaux sociaux | las redes sociales
un ordinateur | un ordenador
un téléphone portable | un movil
avoir un accès internet | tener acceso a internet
l'adresse | la direccion
les données | los datos
la portée, l'atteinte | el alcance
atteindre | alcanzar
l'utilisation | el uso
l'utilisateur | el usario
communiquer avec | comunicarse con
se mettre en relation | relacionarse
rester en contact | seguir en contacto
se répendre, se diffuser | difundirse
envoyer un e-mail | enviar un correo electronico
élargir les liens (e...) | ensanchar los vinculos
élargir les liens (a...) | ampliar lazos
apprendre les nouvelles | enterarse de la noticias
laisser un commentaire | dejar un comentario
laisser un message | dejar un mensaje
le passioné | el aficionado
avoir besoin de | necesitar
faire partie de | formar parte de
chercher | buscar
trouver | encontrar
plaire | gustar
vouloir | querer
rapide ou dangereux | rapido
être dangereux | ser peligroso
mettre en ligne | colgar
